id,question,slug,conditionId,startDate,endDate,description,outcomes,outcomePrices,liquidity,volume,active,closed,marketMakerAddress,createdAt,updatedAt,archived,restricted,groupItemTitle,groupItemThreshold,questionID,enableOrderBook,orderPriceMinTickSize,orderMinSize,volumeNum,liquidityNum,volume24hr,clobTokenIds,umaBond,umaReward,volume24hrClob,volumeClob,liquidityClob,acceptingOrders,rewardsMinSize,rewardsMaxSpread,spread,oneDayPriceChange,lastTradePrice,bestBid,bestAsk,event_id,event_ticker,event_slug,event_title,event_description,event_liquidity,event_volume,event_competitive,event_volume24hr,event_enableOrderBook,event_liquidityClob,event_negRisk,event_negRiskMarketID,event_commentCount,event_countryName,event_electionType,event_disqusThread
253591,Will Donald Trump win the 2024 US Presidential Election?,will-donald-trump-win-the-2024-us-presidential-election,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Donald J. Trump wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.","[""Yes"", ""No""]","[""1"", ""0""]",,1531479285,TRUE,TRUE,,2024-01-04T17:33:51.332Z,2024-11-07T15:23:00.928768Z,FALSE,TRUE,Donald Trump,0,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,TRUE,0.001,5,1531479285,,,"[""21742633143463906290569050155826241533067272736897614950488156847949938836455"", ""48331043336612883890938759509493159234755048973500640148014422747788308965732""]",99750,500,,1531479285,,FALSE,200,1.5,0.001,0.372,1,0.997,0.998,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253597,Will Kamala Harris win the 2024 US Presidential Election?,will-kamala-harris-win-the-2024-us-presidential-election,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,"This market will resolve to “Yes” if Kamala Harris wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",,1037039118,TRUE,TRUE,,2024-01-04T17:40:17.792Z,2024-11-07T18:13:04.660879Z,FALSE,TRUE,Kamala Harris,5,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f07,TRUE,0.001,5,1037039118,,,"[""69236923620077691027083946871148646972011131466059644796654161903044970987404"", ""87584955359245246404952128082451897287778571240979823316620093987046202296181""]",24750,100,,1037039118,,FALSE,200,1.5,0.001,-0.393,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253642,Will any other Republican Politician win the 2024 US Presidential Election?,will-any-other-republican-politician-win-the-2024-us-presidential-election,0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if any other Republican Politician other than Donald J. Trump, Nikki Haley, Robert F. Kennedy Jr., Ron DeSantis, Vivek Ramaswamy, and Chris Christie wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Republican Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Republican for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Republican before election day, the individual will not be considered as a Republican Politician.","[""Yes"", ""No""]","[""0"", ""1""]",,241655099.9,TRUE,TRUE,,2024-01-06T19:52:35.394Z,2024-11-07T19:29:10.587695Z,FALSE,TRUE,Other Republican Politician,17,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f0f,TRUE,0.001,5,241655099.9,,,"[""87935798830831555521299232238121934560977823768906296045917813721531790174443"", ""57677804490585887398706024193987529955099603362215749525873675088072565146041""]",24750,50,,241655099.9,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253727,Kamala Harris wins the popular vote?,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Kamala Harris is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.
","[""Yes"", ""No""]","[""0"", ""1""]",,163779786.6,TRUE,TRUE,,2024-01-09T18:29:49.185Z,2024-11-13T10:03:11.450477Z,FALSE,TRUE,Kamala Harris,7,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc744707,TRUE,0.001,5,163779786.6,,,"[""21271000291843361249209065706097167029083067325856089903026951915683588703117"", ""43898019188443109254544011644141095748327433947336326565220861409147408981284""]",4750,10,,163779786.6,,FALSE,200,3.5,0.001,-0.7225,1,,0.001,903216,presidential-election-popular-vote-winner-2024,presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,,628163458.5,,,TRUE,,TRUE,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc744700,5184,,,
253609,Will Michelle Obama win the 2024 US Presidential Election?,will-michelle-obama-win-the-2024-us-presidential-election,0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Michelle Obama wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",,153382275.6,TRUE,TRUE,,2024-01-05T20:53:17.668Z,2024-11-07T18:43:07.529713Z,FALSE,TRUE,Michelle Obama,3,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f08,TRUE,0.001,5,153382275.6,,,"[""97508453625137094121006941885029334584603955750917059456402541591996493525667"", ""101835693390914207034008670272805414453671321042882880939287726647351186404691""]",24750,100,,153382275.6,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253595,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,2024-01-04T23:01:00Z,2024-11-04T12:00:00Z,"This market will resolve to “Yes” if Robert F. Kennedy Jr. wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",,141605110.7,TRUE,TRUE,,2024-01-04T17:39:07.759Z,2024-11-07T18:07:01.256735Z,FALSE,TRUE,Robert F. Kennedy Jr.,4,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f04,TRUE,0.001,5,141605110.7,,,"[""75551890681049796405776295654438099776333571510662809052054780589218524237663"", ""56404905393055211239795086916790918063008904529043139446524120756836481670648""]",24750,100,,141605110.7,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Donald Trump is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.","[""Yes"", ""No""]","[""1"", ""0""]",,119932620.8,TRUE,TRUE,,2024-01-09T18:05:18.484Z,2024-11-12T22:33:09.169423Z,FALSE,TRUE,Donald Trump,1,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc744700,TRUE,0.001,5,119932620.8,,,"[""42699080635179861375280720242213672850141860123562672932351602811041149946128"", ""52646153159016006621189163812433115969858888637703551736022048114666679879653""]",24750,75,,119932620.8,,FALSE,200,1.5,0.001,0.7115,1,0.999,1,903216,presidential-election-popular-vote-winner-2024,presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,,628163458.5,,,TRUE,,TRUE,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc744700,5184,,,
253641,Will any other Democratic Politician win the 2024 US Presidential Election?,will-any-other-democratic-politician-win-the-2024-us-presidential-election,0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if any other Democratic Politician other than Joe Biden, Gavin Newsom, Robert F. Kennedy Jr., Kamala Harris, Michelle Obama, Hillary Clinton, AOC, Bernie Sanders, and Elizabeth Warren wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Democratic Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Democrat for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Democrat before election day, the individual will not be considered as a Democratic Politician.","[""Yes"", ""No""]","[""0"", ""1""]",,116558196.4,TRUE,TRUE,,2024-01-06T19:52:35.348Z,2024-11-07T19:29:05.636484Z,FALSE,TRUE,Other Democrat Politician,16,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f0e,TRUE,0.001,5,116558196.4,,,"[""74706296939809671893768905246606398708802232875822379413753245164957842209130"", ""103543247440804352548620987887141435213865749546518237928636621721195722919525""]",24750,50,,116558196.4,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253593,Will Nikki Haley win the 2024 US Presidential Election?,will-nikki-haley-win-the-2024-us-presidential-election,0xced9f9d90c94db9f1e1dbd7d9fba82fe4fa7431c0d4e91e28896c8ac2d6acadd,2024-01-04T22:58:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Nikki Haley wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",,107529158.1,TRUE,TRUE,,2024-01-04T17:36:47.96Z,2024-11-07T17:52:56.625322Z,FALSE,TRUE,Nikki Haley,6,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f02,TRUE,0.001,5,107529158.1,,,"[""19083349462791593334532840548890602187185739923311385087650426802477691161360"", ""25663677275476030658483179785762851061160843737234225579491314980654272946621""]",24750,100,,107529158.1,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
253610,Will Hillary Clinton win the 2024 US Presidential Election?,will-hillary-clinton-win-the-2024-us-presidential-election,0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Hillary Clinton wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",,93307167.69,TRUE,TRUE,,2024-01-05T20:53:17.733Z,2024-11-07T19:29:11.94599Z,FALSE,TRUE,Hillary Clinton,11,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f09,TRUE,0.001,5,93307167.69,,,"[""79316691944049488812500733050438507204613781002222375264046442941003895009475"", ""81996907021530768903266356962155871449963890840127658427020993407290924449685""]",24750,100,,93307167.69,,FALSE,200,3.5,0.001,,1,,0.001,903193,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,,3686335059,,,TRUE,,TRUE,0xe3b1bc389210504ebcb9cffe4b0ed06ccac50561e0f24abb6379984cec030f00,209081,,,
